Sample_Name,Batch,Top5_LabID,Weight..gram.,gDNA.Concentration..ng.ul.,qpcr_nM,CollDate,Latitude,Longitude,pH,Clay,Sand,Silt,temp_mean,precipitation_mean,KG_Main,KG_Sub,KG_TempType,KG_Main_Sub,KG_MST,trnl_raw_rc,its2_raw_rc,trnl_nonchim,its2_nonchim
Sample111,3,C-337908,118,110,34.55,9/25/09,45.7271,-106.049,7.2,34.4,19.2,46.4,7.593283718,30.04762496,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,198160,177653,165996,108086
Sample112,3,C-337967,121,133.6,30.73,9/25/09,45.3104,-105.6042,7.5,34,18.6,47.4,7.989208689,26.4455361,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,189240,151514,163074,84254
Sample113,3,C-337974,113,71.6,31.24,9/22/09,46.3248,-104.0782,6.7,26.6,37,36.4,6.632955902,28.83365,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,192295,119871,166946,52528
Sample114,3,C-338136,105,52,13.76,8/21/08,44.4305,-92.4401,6.5,15.8,76.2,8,6.972939257,70.03592489,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,460478,191014,369696,99010
Sample115,3,C-338143,104,56,37.03,8/18/09,43.9856,-94.8401,6.2,25,34,41,7.250533674,62.46025269,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,359400,300853,279835,176671
Sample116,3,C-338158,102,49.3,27,5/1/09,47.4429,-94.12,6,5,9,86,4.623089093,56.96107483,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,146361,21944,134811,8251
Sample117,3,C-338169,103,24.4,43.45,4/30/09,46.3842,-94.2131,5.2,5.4,9.4,85.2,5.12049471,59.409875,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,70383,60450,64584,36628
Sample118,3,C-338566,111,59,30.72,8/20/09,43.3133,-100.1442,7.2,21.1,38,40.9,9.296575439,46.63238612,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,383,133330,152,78770
Sample119,3,C-338582,111,71.6,26.38,7/16/09,45.9101,-103.0521,7.1,22.3,38.1,39.6,6.514197539,32.19485831,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,197389,80836,175138,40937
Sample120,3,C-338588,111,64,60.72,6/18/09,44.8518,-102.1095,8.2,10.7,26.3,63,7.726353113,36.94631662,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,85519,55765,74533,29820
Sample121,3,C-338610,104,89.2,71.99,8/12/09,43.2522,-101.9038,7.1,23.2,59,17.8,8.480144825,40.10368335,Cold,Without dry season,Hot summer,Cold_Without dry season,Cold_Without dry season_Hot summer,75953,57531,65848,31250
Sample122,3,C-340212,104,15.5,23.07,10/28/09,46.6164,-100.945,7,NA,NA,NA,5.956408586,36.82204159,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,231,192426,100,115102
Sample123,3,C-340224,101,56,21.2,10/8/09,47.2991,-102.2056,7.3,NA,NA,NA,5.748566931,35.3888249,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,308313,259621,260340,143664
Sample124,3,C-340409,121,69.2,17.18,10/28/09,48.341,-100.8277,6.7,NA,NA,NA,4.806633582,36.45307222,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,359251,249841,292743,110135
Sample125,3,C-340423,109,170,47.38,6/30/09,47.5444,-103.6253,7,NA,NA,NA,6.178664212,30.12252503,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,142390,99321,126807,71214
Sample126,3,C-340444,100,36.1,33.83,6/24/09,48.7206,-97.5585,7.6,NA,NA,NA,3.951597437,41.30140554,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,189262,100446,161321,63655
Sample127,4,C-341204,102,0.7,73,4/30/08,40.9592,-77.228,4.6,17.8,54.9,27.3,8.303775374,112.6567529,Cold,Without dry season,Warm summer,Cold_Without dry season,Cold_Without dry season_Warm summer,143924,14006,129437,4306
Sample128,4,C-341953,108,54,140.59,5/29/10,35.4556,-101.3804,7.9,27.1,31.2,41.8,13.96483956,45.82459179,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,60748,63007,51876,29754
Sample129,4,C-341970,101,18.8,101.11,5/31/10,34.3073,-100.9394,6.3,6,92,2,16.30150079,48.64795832,Arid,Steppe,Cold,Arid_Steppe,Arid_Steppe_Cold,138891,87264,118037,45215
Sample130,4,C-343175,119,6.68,156.67,6/1/10,33.3798,-116.7083,6.7,11.5,65.2,23.3,14.13284235,40.84574998,Temperate,Dry summer,Hot summer,Temperate_Dry summer,Temperate_Dry summer_Hot summer,243214,156207,189269,92940
